
              Name                      Version          Type   
  minipass                       3.3.6                  npm     
  minipass                       7.0.4                  npm     
  minipass-collect               2.0.1                  npm     
  minipass-fetch                 3.0.4                  npm     
  minipass-flush                 1.0.5                  npm     
  minipass-json-stream           1.0.1                  npm     
  minipass-pipeline              1.2.4                  npm     
  minipass-sized                 1.0.3                  npm     
  minizlib                       2.1.2                  npm     
  mkdirp                         1.0.4                  npm     
  models                         2.0.0                  npm     
  ms                             2.0.0                  npm     
  ms                             2.1.2                  npm     
  ms                             2.1.3                  npm     
  musl                           1.2.4_git20230717-r4   apk     
  musl-utils                     1.2.4_git20230717-r4   apk     
  mute-stream                    1.0.0                  npm     
  name-from-folder               2.0.0                  npm     
  negotiator                     0.6.3                  npm     
  node                           18.20.4                github  
  node-gyp                       10.1.0                 npm     
  node-gyp                       3.0.0                  npm     
  nopt                           7.2.0                  npm     
  normalize-package-data         6.0.0                  npm     
  npm                            10.7.0                 npm     
  npm-audit-report               5.0.0                  npm     
  npm-bundled                    3.0.0                  npm     
  npm-install-checks             6.3.0                  npm     
  npm-normalize-package-bin      3.0.1                  npm     
  npm-package-arg                11.0.2                 npm     
  npm-packlist                   8.0.2                  npm     
  npm-pick-manifest              9.0.0                  npm     
  npm-profile                    9.0.2                  npm     
  npm-registry-fetch             17.0.0                 npm     
  npm-user-validate              2.0.0                  npm     
  object-inspect                 1.13.3                 npm     
  on-finished                    2.4.1                  npm     
  openssl                        3.1.7-r0               apk     
  p-map                          4.0.0                  npm     
  package-json                   5.1.0                  npm     
  pacote                         18.0.3                 npm     
  parse-conflict-json            3.0.1                  npm     
  parseargs                      0.11.0                 npm     
  parseurl                       1.3.3                  npm     
  path-key                       3.1.1                  npm     
  path-scurry                    1.10.2                 npm     
  path-to-regexp                 0.1.10                 npm     
  pax-utils                      1.3.7-r2               apk     
  postcss-selector-parser        6.0.16                 npm     
  proc-log                       3.0.0                  npm     
  proc-log                       4.2.0                  npm     
  proggy                         2.0.0                  npm     
  projeto-caotico                1.0.0                  npm     
  promise-all-reject-late        1.0.1                  npm     
  promise-call-limit             3.0.1                  npm     
  promise-inflight               1.0.1                  npm     
  promise-retry                  2.0.1                  npm     
  promise-spawn                  7.0.1                  npm     
  promzard                       1.0.1                  npm     
  protobuf-specs                 0.3.1                  npm     
  proxy-addr                     2.0.7                  npm     
  qrcode-terminal                0.12.0                 npm     
  qs                             6.13.0                 npm     
  query                          3.1.0                  npm     
  range-parser                   1.2.1                  npm     
  raw-body                       2.5.2                  npm     
  read                           3.0.1                  npm     
  read-cmd-shim                  4.0.0                  npm     
  read-package-json-fast         3.0.2                  npm     
  redact                         2.0.0                  npm     
  retry                          0.12.0                 npm     
  run-script                     8.1.0                  npm     
  safe-buffer                    5.2.1                  npm     
  safer-buffer                   2.1.2                  npm     
  scanelf                        1.3.7-r2               apk     
  semver                         7.6.0                  npm     
  send                           0.19.0                 npm     
  serve-static                   1.16.2                 npm     
  set-function-length            1.2.2                  npm     
  setprototypeof                 1.2.0                  npm     
  shebang-command                2.0.0                  npm     
  shebang-regex                  3.0.0                  npm     
  side-channel                   1.0.6                  npm     
  sign                           2.3.0                  npm     
  signal-exit                    4.1.0                  npm     
  sigstore                       2.3.0                  npm     
  smart-buffer                   4.2.0                  npm     
  socks                          2.8.3                  npm     
  socks-proxy-agent              8.0.3                  npm     
  spdx-correct                   3.2.0                  npm     
  spdx-exceptions                2.5.0                  npm     
